date,open,high,low,close
1717758000,0.00031010,0.00031189,0.00030633,0.00031166
1717761600,0.00031166,0.00031417,0.00030113,0.00030655
1717765200,0.00030658,0.00030807,0.00030452,0.00030643
1717768800,0.00030644,0.00030654,0.00030217,0.00030450
1717772400,0.00030449,0.00030611,0.00030247,0.00030377
1717776000,0.00030377,0.00030549,0.00029608,0.00029892
1717779600,0.00029893,0.00029893,0.00028961,0.00029008
1717783200,0.00029001,0.00029170,0.00025000,0.00027338
1717786800,0.00027338,0.00027949,0.00026830,0.00027925
1717790400,0.00027926,0.00027950,0.00027400,0.00027811
1717794000,0.00027810,0.00028164,0.00027644,0.00028104
1717797600,0.00028105,0.00028448,0.00028001,0.00028253
1717801200,0.00028254,0.00028399,0.00028059,0.00028253
1717804800,0.00028252,0.00029225,0.00028109,0.00029225
1717808400,0.00029225,0.00029386,0.00028800,0.00029085
1717812000,0.00029083,0.00029107,0.00028801,0.00028890
1717815600,0.00028890,0.00029184,0.00028864,0.00029001
1717819200,0.00029002,0.00029016,0.00028511,0.00028686
1717822800,0.00028686,0.00028865,0.00028556,0.00028833
1717826400,0.00028836,0.00029120,0.00028638,0.00028681
1717830000,0.00028681,0.00028875,0.00028590,0.00028785
1717833600,0.00028786,0.00028799,0.00028332,0.00028348
1717837200,0.00028348,0.00028458,0.00028149,0.00028253
1717840800,0.00028253,0.00028292,0.00027971,0.00028237
1717844400,0.00028238,0.00028349,0.00027301,0.00027481
1717848000,0.00027482,0.00027654,0.00027041,0.00027101
1717851600,0.00027100,0.00027758,0.00026586,0.00027658
1717855200,0.00027659,0.00027780,0.00027103,0.00027733
1717858800,0.00027732,0.00027926,0.00027418,0.00027805
1717862400,0.00027805,0.00027829,0.00027201,0.00027463
1717866000,0.00027463,0.00027890,0.00027216,0.00027770
1717869600,0.00027770,0.00028438,0.00027662,0.00028327
1717873200,0.00028328,0.00028601,0.00027936,0.00028215
1717876800,0.00028214,0.00028397,0.00027861,0.00027932
1717880400,0.00027931,0.00028626,0.00027926,0.00028184
1717884000,0.00028184,0.00028279,0.00027580,0.00027744
1717887600,0.00027745,0.00028084,0.00027391,0.00027953
1717891200,0.00027954,0.00028266,0.00027727,0.00027902
1717894800,0.00027903,0.00028680,0.00027822,0.00028441
1717898400,0.00028445,0.00028475,0.00027298,0.00027477
1717902000,0.00027479,0.00027649,0.00027335,0.00027507
1717905600,0.00027510,0.00027875,0.00027467,0.00027594
1717909200,0.00027595,0.00028281,0.00027226,0.00028046
1717912800,0.00028042,0.00028351,0.00027798,0.00027806
1717916400,0.00027806,0.00027889,0.00027456,0.00027458
1717920000,0.00027459,0.00027824,0.00027327,0.00027787
1717923600,0.00027788,0.00027883,0.00027550,0.00027556
1717927200,0.00027556,0.00027741,0.00027415,0.00027586
1717930800,0.00027586,0.00028355,0.00027500,0.00028115
1717934400,0.00028115,0.00028411,0.00027700,0.00028340
1717938000,0.00028339,0.00028339,0.00027507,0.00027782
1717941600,0.00027782,0.00028226,0.00027747,0.00028089
1717945200,0.00028088,0.00028175,0.00027699,0.00027731
1717948800,0.00027730,0.00028034,0.00027581,0.00027995
1717952400,0.00027999,0.00028021,0.00027706,0.00027806
1717956000,0.00027805,0.00028250,0.00027716,0.00028235
1717959600,0.00028233,0.00028336,0.00027962,0.00028037
1717963200,0.00028037,0.00028046,0.00027787,0.00027957
1717966800,0.00027956,0.00028296,0.00027949,0.00028291
1717970400,0.00028290,0.00028655,0.00028061,0.00028077
1717974000,0.00028074,0.00028124,0.00027873,0.00027956
1717977600,0.00027952,0.00027956,0.00027535,0.00027665
1717981200,0.00027665,0.00027859,0.00027538,0.00027633
